Year,Reference area,Sex,Value
2023,,Male,2.2
2023,ZW00,Male,0.0
2023,ZW01,Male,0.0
2023,ZW02,Male,0.0
2023,ZW03,Male,0.0
2023,ZW04,Male,8.6
2023,ZW05,Male,0.0
2023,ZW06,Male,0.0
2023,ZW07,Male,0.0
2023,ZW08,Male,0.0
2023,ZW09,Male,0.0
2023,,Female,13.7
2023,ZW00,Female,37.5
2023,ZW01,Female,29.2
2023,ZW02,Female,0.0
2023,ZW03,Female,20.2
2023,ZW04,Female,0.0
2023,ZW05,Female,0.0
2023,ZW06,Female,0.0
2023,ZW07,Female,18.8
2023,ZW08,Female,0.0
2023,ZW09,Female,0.0
2023,,,6.8
2023,ZW00,,22.0
2023,ZW01,,11.6
2023,ZW02,,0.0
2023,ZW03,,9.4
2023,ZW04,,6.0
2023,ZW05,,0.0
2023,ZW06,,0.0
2023,ZW07,,9.4
2023,ZW08,,0.0
2023,ZW09,,0.0
